latest classifier,opponent classifier,wins,loss,ties
10,1,27,3,20
10,2,30,1,19
10,3,33,0,17
10,4,32,2,16
10,5,24,9,17
10,6,30,3,17
10,7,29,4,17
10,8,28,5,17
10,9,28,5,17
10,10,31,4,15
20,11,27,3,20
20,12,22,3,25
20,13,34,2,14
20,14,26,3,21
20,15,32,10,8
20,16,31,7,12
20,17,36,3,11
20,18,21,10,19
20,19,39,6,5
20,20,29,14,7
30,21,31,5,14
30,22,25,4,21
30,23,26,1,23
30,24,29,1,20
30,25,29,2,19
30,26,31,8,11
30,27,36,1,13
30,28,30,7,13
30,29,27,3,20
30,30,33,2,15
40,31,27,6,17
40,32,32,5,13
40,33,30,4,16
40,34,31,3,16
40,35,36,3,11
40,36,30,3,17
40,37,27,7,16
40,38,29,6,15
40,39,29,3,18
40,40,27,6,17
50,41,31,6,13
50,42,34,2,14
50,43,25,4,21
50,44,33,8,9
50,45,38,4,8
50,46,31,4,15
50,47,29,2,19
50,48,24,7,19
50,49,25,3,22
50,50,24,6,20
60,51,31,2,17
60,52,34,5,11
60,53,36,3,11
60,54,25,4,21
60,55,27,4,19
60,56,31,7,12
60,57,28,5,17
60,58,38,3,9
60,59,22,2,26
60,60,33,3,14
70,61,23,1,26
70,62,28,1,21
70,63,31,1,18
70,64,29,8,13
70,65,34,7,9
70,66,32,3,15
70,67,31,3,16
70,68,28,0,22
70,69,45,0,5
70,70,39,0,11
80,71,35,4,11
80,72,27,8,15
80,73,23,5,22
80,74,35,3,12
80,75,31,1,18
80,76,29,3,18
80,77,34,2,14
80,78,24,8,18
80,79,33,5,12
80,80,34,2,14
90,81,32,3,15
90,82,39,6,5
90,83,32,4,14
90,84,36,4,10
90,85,31,6,13
90,86,36,4,10
90,87,40,2,8
90,88,42,2,6
90,89,30,6,14
90,90,27,9,14
100,91,23,5,22
100,92,34,4,12
100,93,26,5,19
100,94,23,5,22
100,95,26,1,23
100,96,29,0,21
100,97,25,3,22
100,98,29,8,13
100,99,34,9,7
100,100,30,2,18
110,101,26,4,20
110,102,28,5,17
110,103,21,3,26
110,104,23,7,20
110,105,30,5,15
110,106,22,7,21
110,107,25,0,25
110,108,23,4,23
110,109,28,5,17
110,110,26,0,24
120,111,37,1,12
120,112,38,4,8
120,113,41,3,6
120,114,36,2,12
120,115,29,2,19
120,116,36,2,12
120,117,30,6,14
120,118,34,1,15
120,119,38,4,8
120,120,31,2,17
130,121,24,8,18
130,122,28,4,18
130,123,32,2,16
130,124,34,5,11
130,125,30,2,18
130,126,28,5,17
130,127,32,6,12
130,128,28,2,20
130,129,29,8,13
130,130,37,6,7
140,131,29,5,16
140,132,28,9,13
140,133,38,4,8
140,134,30,5,15
140,135,24,5,21
140,136,31,5,14
140,137,33,4,13
140,138,37,4,9
140,139,28,4,18
140,140,27,11,12
150,141,21,6,23
150,142,21,7,22
150,143,22,2,26
150,144,14,10,26
150,145,16,4,30
150,146,28,5,17
150,147,31,5,14
150,148,21,2,27
150,149,32,7,11
150,150,27,6,17
160,151,27,3,20
160,152,35,7,8
160,153,40,3,7
160,154,37,3,10
160,155,35,4,11
160,156,30,2,18
160,157,24,3,23
160,158,28,5,17
160,159,35,5,10
160,160,32,3,15
170,161,21,12,17
170,162,26,8,16
170,163,19,13,18
170,164,28,5,17
170,165,23,9,18
170,166,20,13,17
170,167,21,8,21
170,168,24,6,20
170,169,29,6,15
170,170,19,3,28
180,171,25,6,19
180,172,25,2,23
180,173,27,3,20
180,174,35,6,9
180,175,20,9,21
180,176,19,5,26
180,177,25,8,17
180,178,30,4,16
180,179,25,1,24
180,180,27,2,21
190,181,25,3,22
190,182,21,4,25
190,183,18,2,30
190,184,17,7,26
190,185,25,4,21
190,186,24,6,20
190,187,26,6,18
190,188,25,5,20
190,189,23,3,24
190,190,14,0,36
200,191,25,5,20
200,192,24,6,20
200,193,19,3,28
200,194,28,3,19
200,195,20,5,25
200,196,20,5,25
200,197,22,1,27
200,198,24,4,22
200,199,30,3,17
200,200,16,4,30
210,201,24,9,17
210,202,32,6,12
210,203,33,2,15
210,204,23,8,19
210,205,35,6,9
210,206,32,8,10
210,207,26,4,20
210,208,34,5,11
210,209,35,6,9
210,210,25,6,19
220,211,28,6,16
220,212,33,3,14
220,213,29,2,19
220,214,30,6,14
220,215,35,1,14
220,216,29,2,19
220,217,26,3,21
220,218,33,11,6
220,219,31,2,17
220,220,37,5,8
230,221,23,3,24
230,222,34,5,11
230,223,36,2,12
230,224,23,5,22
230,225,30,7,13
230,226,30,5,15
230,227,32,4,14
230,228,29,4,17
230,229,34,2,14
230,230,30,2,18
240,231,30,2,18
240,232,28,2,20
240,233,34,4,12
240,234,28,1,21
240,235,37,1,12
240,236,30,4,16
240,237,28,4,18
240,238,28,7,15
240,239,38,4,8
240,240,24,9,17
250,241,30,3,17
250,242,35,2,13
250,243,33,4,13
250,244,36,2,12
250,245,37,3,10
250,246,26,6,18
250,247,43,1,6
250,248,27,4,19
250,249,33,3,14
250,250,36,1,13
260,251,41,5,4
260,252,33,4,13
260,253,47,1,2
260,254,34,13,3
260,255,29,6,15
260,256,38,8,4
260,257,34,6,10
260,258,37,1,12
