classifier best,opponent,wins,loss,ties
500,499,24,2,24
500,498,27,3,20
500,497,29,2,19
500,496,24,3,23
500,495,27,6,17
500,494,26,6,18
500,493,24,4,22
500,492,34,2,14
500,491,36,1,13
500,490,25,2,23
500,489,30,8,12
500,488,35,3,12
500,487,31,3,16
500,486,31,2,17
500,485,30,8,12
500,484,32,8,10
500,483,25,4,21
500,482,38,6,6
500,481,31,6,13
500,480,28,7,15
500,479,22,0,28
500,478,21,4,25
500,477,19,13,18
500,476,24,8,18
500,475,26,4,20
500,474,28,8,14
500,473,33,5,12
500,472,34,4,12
500,471,19,5,26
500,470,27,4,19
500,469,25,4,21
500,468,28,6,16
500,467,24,7,19
500,466,29,3,18
500,465,24,5,21
500,464,27,8,15
500,463,25,4,21
500,462,32,4,14
500,461,29,6,15
500,460,23,8,19
500,459,23,3,24
500,458,29,4,17
500,457,25,8,17
500,456,34,5,11
500,455,26,6,18
500,454,27,4,19
500,453,31,6,13
500,452,27,4,19
500,451,28,9,13
500,450,20,0,30
500,449,36,2,12
500,448,27,4,19
500,447,22,5,23
500,446,30,4,16
500,445,18,8,24
500,444,30,5,15
500,443,26,7,17
500,442,26,5,19
500,441,26,5,19
500,440,33,6,11
500,439,35,2,13
500,438,33,4,13
500,437,31,2,17
500,436,35,4,11
500,435,26,10,14
500,434,27,3,20
500,433,35,8,7
500,432,33,3,14
500,431,26,8,16
500,430,24,4,22
500,429,33,4,13
500,428,25,6,19
500,427,29,4,17
500,426,34,4,12
500,425,29,5,16
500,424,28,5,17
500,423,32,5,13
500,422,18,4,28
500,421,26,9,15
500,420,24,9,17
500,419,21,6,23
500,418,30,3,17
500,417,30,2,18
500,416,30,4,16
500,415,33,5,12
500,414,34,6,10
500,413,32,7,11
500,412,26,6,18
500,411,26,4,20
500,410,29,5,16
500,409,30,1,19
500,408,27,8,15
500,407,26,1,23
500,406,26,3,21
500,405,25,3,22
500,404,33,4,13
500,403,32,8,10
500,402,31,5,14
500,401,26,4,20
500,400,23,5,22
500,399,33,7,10
500,398,24,7,19
500,397,34,3,13
500,396,28,8,14
500,395,30,3,17
500,394,30,6,14
500,393,33,7,10
500,392,22,4,24
500,391,29,9,12
500,390,36,1,13
500,389,29,7,14
500,388,31,7,12
500,387,31,5,14
500,386,37,3,10
500,385,30,3,17
500,384,37,4,9
500,383,33,5,12
500,382,32,9,9
500,381,33,3,14
500,380,35,5,10
500,379,31,7,12
500,378,22,10,18
500,377,30,2,18
500,376,28,5,17
500,375,28,6,16
500,374,29,6,15
500,373,30,4,16
500,372,31,6,13
500,371,25,3,22
500,370,32,6,12
500,369,28,9,13
500,368,34,4,12
500,367,27,4,19
500,366,29,4,17
500,365,23,13,14
500,364,25,6,19
500,363,32,5,13
500,362,27,10,13
500,361,27,2,21
500,360,36,2,12
500,359,35,2,13
500,358,22,3,25
500,357,32,6,12
500,356,34,4,12
500,355,24,7,19
500,354,24,2,24
500,353,31,2,17
500,352,21,4,25
500,351,28,3,19
500,350,28,2,20
500,349,33,6,11
500,348,31,9,10
500,347,31,5,14
500,346,30,2,18
500,345,30,5,15
500,344,27,3,20
500,343,25,13,12
500,342,26,2,22
500,341,22,6,22
500,340,23,2,25
500,339,32,5,13
500,338,32,1,17
500,337,30,11,9
500,336,25,3,22
500,335,29,4,17
500,334,32,2,16
500,333,28,5,17
500,332,26,7,17
500,331,24,3,23
500,330,30,6,14
500,329,35,0,15
500,328,37,1,12
